GeoName,Avg.Salary
"State College, PA (Metropolitan Statistical Area)",39649
"Staunton-Waynesboro, VA (Metropolitan Statistical Area)",46705
"Stockton-Lodi, CA (Metropolitan Statistical Area)",39719
"Sumter, SC (Metropolitan Statistical Area)",40024
"Syracuse, NY (Metropolitan Statistical Area)",45230
"Tallahassee, FL (Metropolitan Statistical Area)",41054
"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",42583
"Terre Haute, IN (Metropolitan Statistical Area)",39151
"Texarkana, TX-AR (Metropolitan Statistical Area)",39425
"The Villages, FL (Metropolitan Statistical Area)",43974
"Toledo, OH (Metropolitan Statistical Area)",47566
"Topeka, KS (Metropolitan Statistical Area)",46599
"Trenton, NJ (Metropolitan Statistical Area)",55029
"Tucson, AZ (Metropolitan Statistical Area)",40198
"Tulsa, OK (Metropolitan Statistical Area)",51359
"Tuscaloosa, AL (Metropolitan Statistical Area)",38917
"Twin Falls, ID (Metropolitan Statistical Area) 4/",(NA)
"Tyler, TX (Metropolitan Statistical Area)",48154
"Urban Honolulu, HI (Metropolitan Statistical Area)",42455
"Utica-Rome, NY (Metropolitan Statistical Area)",41588
"Valdosta, GA (Metropolitan Statistical Area)",40161
"Vallejo-Fairfield, CA (Metropolitan Statistical Area)",38329
"Victoria, TX (Metropolitan Statistical Area)",43039
"Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",36110
"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)",46286
"Visalia-Porterville, CA (Metropolitan Statistical Area)",38992
"Waco, TX (Metropolitan Statistical Area)",40251
"Walla Walla, WA (Metropolitan Statistical Area)",43179
"Warner Robins, GA (Metropolitan Statistical Area)",42207
"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",54683
"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",44803
"Watertown-Fort Drum, NY (Metropolitan Statistical Area)",42342
"Wausau, WI (Metropolitan Statistical Area)",48959
"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",41744
"Wenatchee, WA (Metropolitan Statistical Area)",46087
"Wheeling, WV-OH (Metropolitan Statistical Area)",46474
