City_State,RPP_c,vals
"Birmingham-Hoover, AL (Metropolitan Statistical Area)",  RPPs: Services: Rents,68.8
"Birmingham-Hoover, AL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Bismarck, ND (Metropolitan Statistical Area)",RPPs: All items,93.9
"Bismarck, ND (Metropolitan Statistical Area)",  RPPs: Goods,97
"Bismarck, ND (Metropolitan Statistical Area)",  RPPs: Services: Rents,87.7
"Bismarck, ND (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",RPPs: All items,88.5
"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",  RPPs: Goods,91.2
"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",  RPPs: Services: Rents,79.1
"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.3
"Bloomington, IL (Metropolitan Statistical Area)",RPPs: All items,93.8
"Bloomington, IL (Metropolitan Statistical Area)",  RPPs: Goods,96.7
"Bloomington, IL (Metropolitan Statistical Area)",  RPPs: Services: Rents,87.8
"Bloomington, IL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Bloomington, IN (Metropolitan Statistical Area)",RPPs: All items,93.7
"Bloomington, IN (Metropolitan Statistical Area)",  RPPs: Goods,96.8
"Bloomington, IN (Metropolitan Statistical Area)",  RPPs: Services: Rents,89.1
"Bloomington, IN (Metropolitan Statistical Area)",  RPPs: Services: Other,93.3
"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",RPPs: All items,93.3
"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",  RPPs: Goods,98
"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",  RPPs: Services: Rents,75.4
"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",  RPPs: Services: Other,100.6
"Boise City, ID (Metropolitan Statistical Area)",RPPs: All items,94.8
"Boise City, ID (Metropolitan Statistical Area)",  RPPs: Goods,95.5
"Boise City, ID (Metropolitan Statistical Area)",  RPPs: Services: Rents,83.3
"Boise City, ID (Metropolitan Statistical Area)",  RPPs: Services: Other,101.8
"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",RPPs: All items,111.1
"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",  RPPs: Goods,101.4
"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",  RPPs: Services: Rents,141
"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",  RPPs: Services: Other,107.2
"Boulder, CO (Metropolitan Statistical Area)",RPPs: All items,108.9
"Boulder, CO (Metropolitan Statistical Area)",  RPPs: Goods,100.9
"Boulder, CO (Metropolitan Statistical Area)",  RPPs: Services: Rents,144.5
"Boulder, CO (Metropolitan Statistical Area)",  RPPs: Services: Other,99.4
"Bowling Green, KY (Metropolitan Statistical Area)",RPPs: All items,85.1
"Bowling Green, KY (Metropolitan Statistical Area)",  RPPs: Goods,91.1
"Bowling Green, KY (Metropolitan Statistical Area)",  RPPs: Services: Rents,65.5
"Bowling Green, KY (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",RPPs: All items,106.4
"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",  RPPs: Goods,106.3
"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",  RPPs: Services: Rents,111.2
"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",  RPPs: Services: Other,104
"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",RPPs: All items,120.1
"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",  RPPs: Goods,110.5
"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",  RPPs: Services: Rents,147.9
"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",  RPPs: Services: Other,116.8
"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",RPPs: All items,83.8
"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",  RPPs: Services: Rents,57.1
"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
