"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",93.1
"Lafayette, LA (Metropolitan Statistical Area)",88.7
"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",92.1
"Lake Charles, LA (Metropolitan Statistical Area)",88.1
"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",91.8
"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",92.9
"Lancaster, PA (Metropolitan Statistical Area)",99.4
"Lansing-East Lansing, MI (Metropolitan Statistical Area)",93
"Laredo, TX (Metropolitan Statistical Area)",89.1
"Las Cruces, NM (Metropolitan Statistical Area)",91.1
"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",97.8
"Lawrence, KS (Metropolitan Statistical Area)",92.7
"Lawton, OK (Metropolitan Statistical Area)",89.7
"Lebanon, PA (Metropolitan Statistical Area)",95.4
"Lewiston, ID-WA (Metropolitan Statistical Area)",90.7
"Lewiston-Auburn, ME (Metropolitan Statistical Area)",94.3
"Lexington-Fayette, KY (Metropolitan Statistical Area)",91.3
"Lima, OH (Metropolitan Statistical Area)",87.1
"Lincoln, NE (Metropolitan Statistical Area)",92.5
"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",90.5
"Logan, UT-ID (Metropolitan Statistical Area)",91.1
"Longview, TX (Metropolitan Statistical Area)",90.9
"Longview, WA (Metropolitan Statistical Area)",94.3
"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",117.7
"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",91
"Lubbock, TX (Metropolitan Statistical Area)",93.2
"Lynchburg, VA (Metropolitan Statistical Area)",89.8
"Macon-Bibb County, GA (Metropolitan Statistical Area)",86.2
"Madera, CA (Metropolitan Statistical Area)",94.7
"Madison, WI (Metropolitan Statistical Area)",97.7
"Manchester-Nashua, NH (Metropolitan Statistical Area)",108.5
"Manhattan, KS (Metropolitan Statistical Area)",92.3
"Mankato-North Mankato, MN (Metropolitan Statistical Area)",90.2
"Mansfield, OH (Metropolitan Statistical Area)",86.3
