"MARPI Real Personal Income by MSA 1/"
"Real per capita personal income (Chained 2012 dollars) 2/" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"22540","Fond du Lac, WI (Metropolitan Statistical Area)",48964
"22660","Fort Collins, CO (Metropolitan Statistical Area)",45732
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)",39825
"23060","Fort Wayne, IN (Metropolitan Statistical Area)",45774
"23420","Fresno, CA (Metropolitan Statistical Area)",40309
"23460","Gadsden, AL (Metropolitan Statistical Area)",40299
"23540","Gainesville, FL (Metropolitan Statistical Area)",41271
"23580","Gainesville, GA (Metropolitan Statistical Area)",43526
"23900","Gettysburg, PA (Metropolitan Statistical Area)",45440
"24020","Glens Falls, NY (Metropolitan Statistical Area)",42708
"24140","Goldsboro, NC (Metropolitan Statistical Area)",39599
"24220","Grand Forks, ND-MN (Metropolitan Statistical Area)",48711
"24260","Grand Island, NE (Metropolitan Statistical Area)",46822
"24300","Grand Junction, CO (Metropolitan Statistical Area)",40972
"24340","Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",48851
"24420","Grants Pass, OR (Metropolitan Statistical Area)",38939
"24500","Great Falls, MT (Metropolitan Statistical Area)",46112
"24540","Greeley, CO (Metropolitan Statistical Area)",42597
"24580","Green Bay, WI (Metropolitan Statistical Area)",50190
"24660","Greensboro-High Point, NC (Metropolitan Statistical Area)",43798
"24780","Greenville, NC (Metropolitan Statistical Area)",42234
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",44007
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",38591
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",40085
"25220","Hammond, LA (Metropolitan Statistical Area)",41645
"25260","Hanford-Corcoran, CA (Metropolitan Statistical Area)",34336
"25420","Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",47955
"25500","Harrisonburg, VA (Metropolitan Statistical Area)",39823
"25540","Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",56914
"25620","Hattiesburg, MS (Metropolitan Statistical Area)",43510
"25860","Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",40747
"25940","Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",49356
"25980","Hinesville, GA (Metropolitan Statistical Area)",33852
"26140","Homosassa Springs, FL (Metropolitan Statistical Area)",40289
"26300","Hot Springs, AR (Metropolitan Statistical Area)",41722
"26380","Houma-Thibodaux, LA (Metropolitan Statistical Area)",43307
"26420","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",48692
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",41082
"26620","Huntsville, AL (Metropolitan Statistical Area)",49918
"26820","Idaho Falls, ID (Metropolitan Statistical Area)",44785
"26900","Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",52830
"26980","Iowa City, IA (Metropolitan Statistical Area)",49446
"27060","Ithaca, NY (Metropolitan Statistical Area)",36716
"27100","Jackson, MI (Metropolitan Statistical Area)",40136
"27140","Jackson, MS (Metropolitan Statistical Area)",45387
"27180","Jackson, TN (Metropolitan Statistical Area)",45246
"27260","Jacksonville, FL (Metropolitan Statistical Area)",46299
"27340","Jacksonville, NC (Metropolitan Statistical Area)",47858
"27500","Janesville-Beloit, WI (Metropolitan Statistical Area)",42962
"27620","Jefferson City, MO (Metropolitan Statistical Area)",46673
"27740","Johnson City, TN (Metropolitan Statistical Area)",41520
"27780","Johnstown, PA (Metropolitan Statistical Area)",44343
"27860","Jonesboro, AR (Metropolitan Statistical Area)",40329
"27900","Joplin, MO (Metropolitan Statistical Area)",40679
"27980","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",40848
"28020","Kalamazoo-Portage, MI (Metropolitan Statistical Area)",46190
"28100","Kankakee, IL (Metropolitan Statistical Area)",38890
"28140","Kansas City, MO-KS (Metropolitan Statistical Area)",51224
"28420","Kennewick-Richland, WA (Metropolitan Statistical Area)",41603
"28660","Killeen-Temple, TX (Metropolitan Statistical Area)",41912
"28700","Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)",42205
"28740","Kingston, NY (Metropolitan Statistical Area)",43047
"28940","Knoxville, TN (Metropolitan Statistical Area)",46417
"29020","Kokomo, IN (Metropolitan Statistical Area)",43849
"29100","La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",47898
"29180","Lafayette, LA (Metropolitan Statistical Area)",43853
"29200","Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",38094
"29340","Lake Charles, LA (Metropolitan Statistical Area)",48773
"29420","Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",31589
"29460","Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",34857
"29540","Lancaster, PA (Metropolitan Statistical Area)",45962
"29620","Lansing-East Lansing, MI (Metropolitan Statistical Area)",40822
"29700","Laredo, TX (Metropolitan Statistical Area)",32222
"29740","Las Cruces, NM (Metropolitan Statistical Area)",36624
"29820","Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",42455
"29940","Lawrence, KS (Metropolitan Statistical Area)",41897
"30020","Lawton, OK (Metropolitan Statistical Area)",42044
"30140","Lebanon, PA (Metropolitan Statistical Area)",44520
"30300","Lewiston, ID-WA (Metropolitan Statistical Area)",44480
"30340","Lewiston-Auburn, ME (Metropolitan Statistical Area)",39287
"30460","Lexington-Fayette, KY (Metropolitan Statistical Area)",47221
"30620","Lima, OH (Metropolitan Statistical Area)",43373
"30700","Lincoln, NE (Metropolitan Statistical Area)",47793
"30780","Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",45527
"30860","Logan, UT-ID (Metropolitan Statistical Area)",37401
"30980","Longview, TX (Metropolitan Statistical Area)",42117
"31020","Longview, WA (Metropolitan Statistical Area)",42685
"31080","Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",47793
